product_id,sku,category_code,brand_code,color,size,material,weight_grams,length_cm,width_cm,height_cm,rating_count
2000000000015,STCR-HNK-00001,hnk,stcr,White,One-Size,Coton,305g,"22,2",17.1,6.3,0
2000000000022,HMNS-HNK-00002,hnk,hmns,Silver,One-Size,Steel,682g,"18,2",12.3,3.7,1
2000000000039,NOVW-CE-00003,ce,novw,Purple,One-Size,Wood,243g,"18,2",13.9,4.2,0
2000000000046,URTL-APP-00004,app,urtl,Silver,S,Ruber,225g,"17,6",4.6,5.8,50
2000000000053,GGRN-GRC-00005,grcy,ggrn,Silver,One-Size,Ruber,455g,"27,2",15.8,7.4,-4
2000000000060,SLKE-BPC-00006,bpc,slke,Purple,One-Size,Plastic,232g,"28,0",13.8,6.1,0
2000000000077,VOLT-CE-00007,ce,volt,Blue,One-Size,Plastic,507g,"27,2",12.1,6.4,5
2000000000084,CBLT-APP-00008,app,cblt,Blue,XS,Polyester,261g,"27,7",8.5,7.0,0
2000000000091,ARFT-SPT-00009,spt,arft,Blue,XL,Plastic,59g,"12,5",19.0,7.9,11
2000000000107,MOSA-APP-0000A,app,mosa,White,L,Polyester,238g,"10,7",17.7,10.3,6
2000000000114,CBLT-APP-0000B,app,cblt,Navy,XL,Glass,451g,"20,1",10.2,9.9,13
2000000000121,RKBR-TOY-0000C,toy,rkbr,White,One-Size,Coton,432g,"10,2",13.1,11.9,10
2000000000138,GMFG-TOY-0000D,toy,gmfg,White,One-Size,Alumium,573g,"21,8",16.2,8.5,3
2000000000145,GRBK-GRC-0000E,grcy,grbk,Yellow,One-Size,Glass,435g,"35,2",10.8,5.7,1
2000000000152,DMLX-BPC-0000F,bpc,dmlx,Silver,One-Size,Plastic,238g,"12,3",16.9,8.1,24
2000000000169,GGRN-GRC-0000G,grcy,ggrn,Navy,One-Size,Steel,135g,"7,9",9.8,10.6,61
2000000000176,ZNTH-CE-0000H,ce,znth,Yellow,One-Size,Wood,253g,"27,0",17.3,5.1,5
2000000000183,BTNQ-BPC-0000I,bpc,btnq,Blue,One-Size,Coton,477g,"25,2",10.4,10.3,2
2000000000190,SKYL-CE-0000J,ce,skyl,Green,One-Size,Plastic,193g,"32,5",12.6,9.6,0
2000000000206,GGRN-GRC-0000K,grcy,ggrn,Beige,One-Size,Glass,76g,"13,8",20.3,7.0,1
2000000000213,ABLF-APP-0000L,app,ablf,Navy,L,Steel,593g,"14,3",14.2,10.3,2
2000000000220,HRBC-BPC-0000M,bpc,hrbc,Beige,One-Size,Ruber,176g,"20,5",23.7,9.2,1
2000000000237,BTNQ-BPC-0000N,bpc,btnq,Purple,One-Size,Wood,1089g,"4,4",11.2,9.8,0
2000000000244,GRBK-GRC-0000O,grcy,grbk,Silver,One-Size,Steel,190g,"27,6",19.3,9.1,0
2000000000251,PLCB-TOY-0000P,toy,plcb,Black,One-Size,Polyester,210g,"28,8",16.1,10.4,0
2000000000268,RKBR-TOY-0000Q,toy,rkbr,Green,One-Size,Paper,159g,"35,3",17.3,2.6,1
2000000000275,KDLN-TOY-0000R,toy,kdln,Purple,One-Size,Leather,137g,"17,4",14.1,6.3,0
2000000000282,ACME-CE-0000S,ce,acme,Navy,One-Size,Polyester,175g,"14,7",18.8,1.9,0
2000000000299,BTNQ-BPC-0000T,bpc,btnq,Blue,One-Size,Polyester,351g,"32,3",11.5,9.2,2
2000000000305,TRBZ-SPT-0000U,spt,trbz,Yellow,XS,Plastic,325g,"16,5",21.3,11.6,0
2000000000312,MOSA-APP-0000V,app,mosa,White,One-Size,Plastic,55g,"15,8",8.2,8.5,0
2000000000329,TNGR-TOY-0000W,toy,tngr,Silver,One-Size,Steel,687g,"25,6",11.3,7.8,7
2000000000336,AQPR-HNK-0000X,hnk,aqpr,Pink,One-Size,Coton,80g,"15,2",12.0,8.1,2
2000000000343,CSNV-HNK-0000Y,hnk,csnv,Black,One-Size,Polyester,308g,"14,0",19.8,8.3,0
2000000000350,PGTR-BKS-0000Z,bks,pgtr,,One-Size,Coton,452g,"16,5",10.3,2.8,8
2000000000367,PRSD-SPT-00010,spt,prsd,Beige,L,Polyester,74g,"19,6",13.9,7.9,0
2000000000374,ZNTH-CE-00011,ce,znth,Navy,One-Size,Leather,344g,"26,0",10.5,14.2,0
2000000000381,PRLV-HNK-00012,hnk,prlv,Pink,One-Size,Paper,166g,"10,4",21.8,8.1,0
2000000000398,AQPR-HNK-00013,hnk,aqpr,Beige,One-Size,Alumium,196g,"15,0",2.0,10.6,0
2000000000404,CSNV-HNK-00014,hnk,csnv,Navy,One-Size,Glass,155g,"11,3",20.4,10.6,0
2000000000411,ABLF-APP-00015,app,ablf,White,S,Alumium,97g,"4,7",16.7,8.1,0
2000000000428,PLCB-TOY-00016,toy,plcb,Purple,One-Size,Ruber,253g,"13,4",13.4,7.8,3
2000000000435,PLCB-TOY-00017,toy,plcb,White,One-Size,Coton,760g,"27,5",8.2,6.3,0
2000000000442,CKMT-HNK-00018,hnk,ckmt,Blue,One-Size,Polyester,155g,"20,4",7.7,6.8,2
2000000000459,PRLV-HNK-00019,hnk,prlv,Navy,One-Size,Leather,118g,"21,4",12.4,9.5,3
2000000000466,STCR-HNK-0001A,hnk,stcr,Purple,One-Size,Paper,450g,"17,4",18.0,6.8,10
2000000000473,WRMH-HNK-0001B,hnk,wrmh,Yellow,One-Size,Wood,261g,"12,9",13.4,8.5,0
2000000000480,URTL-APP-0001C,app,urtl,Navy,L,Glass,437g,"13,2",12.4,6.6,4
2000000000497,QLHS-BKS-0001D,bks,qlhs,,One-Size,Coton,495g,"6,9",13.4,4.8,0
2000000000503,PLCB-TOY-0001E,toy,plcb,Green,One-Size,Glass,264g,"25,8",14.4,8.7,45
2000000000510,DLHV-GRC-0001F,grcy,dlhv,Silver,One-Size,Ruber,254g,"28,8",3.5,12.6,0
2000000000527,CSNV-HNK-0001G,hnk,csnv,Gray,One-Size,Plastic,206g,"17,8",2.0,7.8,1
2000000000534,NOVW-CE-0001H,ce,novw,Yellow,One-Size,Ruber,273g,"14,6",12.7,5.7,5
2000000000541,STCR-HNK-0001I,hnk,stcr,Pink,One-Size,Coton,38g,"28,7",18.2,1.8,1
2000000000558,ZNTH-CE-0001J,ce,znth,Green,One-Size,Leather,142g,"19,3",12.1,5.9,0
2000000000565,CBLT-APP-0001K,app,cblt,Green,XS,Steel,402g,"23,6",10.2,11.5,0
2000000000572,ABLF-APP-0001L,app,ablf,Red,One-Size,Leather,71g,"26,1",4.9,11.7,1
2000000000589,PHTX-CE-0001M,ce,phtx,Gray,One-Size,Alumium,303g,"6,3",5.3,10.2,12
2000000000596,ACME-CE-0001N,ce,acme,Purple,One-Size,Ruber,360g,"36,0",15.6,6.6,0
2000000000602,PLCB-TOY-0001O,toy,plcb,Black,One-Size,Paper,67g,"9,8",8.9,8.1,1
2000000000619,STAC-BKS-0001P,bks,stac,,One-Size,Steel,71g,"36,7",10.5,8.3,0
2000000000626,FRFL-GRC-0001Q,grcy,frfl,Gray,One-Size,Polyester,238g,"34,2",8.9,13.4,0
2000000000633,RKBR-TOY-0001R,toy,rkbr,Silver,One-Size,Wood,208g,"28,5",12.6,10.5,0
2000000000640,STAC-BKS-0001S,bks,stac,,One-Size,Paper,268g,"23,6",10.9,11.4,0
2000000000657,QLHS-BKS-0001T,bks,qlhs,,One-Size,Paper,589g,"12,8",11.1,6.7,0
